chunk_id;node_1;node_2;edge
2c328c4307c7444bbbc366ec239c712c;wishing well;body;Wishing well is said to have a body in it, which might be felt.
2c328c4307c7444bbbc366ec239c712c;poorer born;stars;The poorer born are shut up in wishes by their stars.
2c328c4307c7444bbbc366ec239c712c;mars;star;Helena thinks that Parolles was born under a charitable star, specifically Mars.
2c328c4307c7444bbbc366ec239c712c;court;parolles;Parolles says he will think of Helena at court.
2c328c4307c7444bbbc366ec239c712c;advantage;valour and fear;Parolles' valour and fear make a composition that provides an advantage.
2c328c4307c7444bbbc366ec239c712c;running away;fear;Running away is motivated by fear, which proposes safety.
d2eafbaba7c844f2a892b618b7e82b6b;valour;fear;compounds
d2eafbaba7c844f2a892b618b7e82b6b;businesses;courtier;instructs
d2eafbaba7c844f2a892b618b7e82b6b;leisure;prayers;related to
d2eafbaba7c844f2a892b618b7e82b6b;friends;husband;associated with
d2eafbaba7c844f2a892b618b7e82b6b;fortune;nature;influences
d2eafbaba7c844f2a892b618b7e82b6b;love;eye;related to
e5eb64f1db4845258120c284269bcb59;love;merit;The show of merit may lead to the reception of love.
e5eb64f1db4845258120c284269bcb59;fortune;nature;Fortune and nature are intertwined concepts, with fortune being a product of natural forces.
e5eb64f1db4845258120c284269bcb59;pains;sense;The weight of pains is measured by one's sense, with a clear distinction between physical and emotional suffering.
e5eb64f1db4845258120c284269bcb59;what hath been;what cannot be;The past (what hath been) is distinct from the impossible or unpredictable (what cannot be).
e5eb64f1db4845258120c284269bcb59;intents;project;One's intents are tied to the success or failure of a project, with a focus on intention and purpose.
